OpenJDK 64-Bit Server VM (24.95-b01) for linux-amd64 JRE (1.7.0_95-b00), built on Jan 21 2016 03:31:40 by "buildd" with gcc 4.8.4
Memory: 4k page, physical 4048216k(2715072k free), swap 0k(0k free)
CommandLine flags: -XX:+CMSClassUnloadingEnabled -XX:+CMSScavengeBeforeRemark -XX:+DisableExplicitGC -XX:InitialHeapSize=1073741824 -XX:+ManagementServer -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=174485504 -XX:MaxTenuringThreshold=6 -XX:NewSize=174485504 -XX:OldPLABSize=16 -XX:OldSize=348971008 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2016-04-03T19:02:38.440+0000: 4.951: [GC [1 CMS-initial-mark: 0K(878208K)] 81828K(1031552K), 0.0210400 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2016-04-03T19:02:38.461+0000: 4.973: [CMS-concurrent-mark-start]
2016-04-03T19:02:38.489+0000: 5.001: [CMS-concurrent-mark: 0.028/0.028 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-04-03T19:02:38.489+0000: 5.001: [CMS-concurrent-preclean-start]
2016-04-03T19:02:38.555+0000: 5.067: [CMS-concurrent-preclean: 0.049/0.066 secs] [Times: user=0.07 sys=0.00, real=0.07 secs] 
2016-04-03T19:02:38.556+0000: 5.067: [CMS-concurrent-abortable-preclean-start]
 CMS: abort preclean due to time 2016-04-03T19:02:43.638+0000: 10.150: [CMS-concurrent-abortable-preclean: 0.121/5.082 secs] [Times: user=0.24 sys=0.02, real=5.08 secs] 
2016-04-03T19:02:43.639+0000: 10.151: [GC[YG occupancy: 84559 K (153344 K)]2016-04-03T19:02:43.640+0000: 10.152: [GC2016-04-03T19:02:43.640+0000: 10.152: [ParNew: 84559K->8920K(153344K), 0.0226130 secs] 84559K->8920K(1031552K), 0.0233930 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-04-03T19:02:43.664+0000: 10.175: [Rescan (parallel) , 0.0168640 secs]2016-04-03T19:02:43.681+0000: 10.193: [weak refs processing, 0.0002940 secs]2016-04-03T19:02:43.682+0000: 10.193: [class unloading, 0.0015860 secs]2016-04-03T19:02:43.683+0000: 10.195: [scrub symbol table, 0.0031890 secs]2016-04-03T19:02:43.687+0000: 10.199: [scrub string table, 0.0004300 secs] [1 CMS-remark: 0K(878208K)] 8920K(1031552K), 0.0481250 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
2016-04-03T19:02:43.689+0000: 10.201: [CMS-concurrent-sweep-start]
2016-04-03T19:02:43.694+0000: 10.205: [CMS-concurrent-sweep: 0.005/0.005 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2016-04-03T19:02:43.695+0000: 10.207: [CMS-concurrent-reset-start]
2016-04-03T19:02:43.716+0000: 10.228: [CMS-concurrent-reset: 0.014/0.021 secs] [Times: user=0.01 sys=0.02, real=0.02 secs] 
2016-04-03T20:09:40.602+0000: 4027.113: [GC2016-04-03T20:09:40.602+0000: 4027.114: [ParNew: 145240K->4656K(153344K), 0.0431910 secs] 145240K->7075K(1031552K), 0.0439570 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2016-04-03T20:12:46.415+0000: 4212.927: [GC2016-04-03T20:12:46.415+0000: 4212.927: [ParNew: 140976K->1910K(153344K), 0.0188610 secs] 143395K->4329K(1031552K), 0.0196800 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-04-03T20:13:45.810+0000: 4272.321: [GC2016-04-03T20:13:45.811+0000: 4272.322: [ParNew: 138230K->1816K(153344K), 0.0146970 secs] 140649K->4235K(1031552K), 0.0160840 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-04-03T20:14:48.806+0000: 4335.318: [GC2016-04-03T20:14:48.806+0000: 4335.318: [ParNew: 138136K->1847K(153344K), 0.0116470 secs] 140555K->4266K(1031552K), 0.0122800 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2016-04-03T20:15:52.920+0000: 4399.431: [GC2016-04-03T20:15:52.920+0000: 4399.432: [ParNew: 138167K->1855K(153344K), 0.0113000 secs] 140586K->4274K(1031552K), 0.0119720 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2016-04-03T20:16:58.140+0000: 4464.651: [GC2016-04-03T20:16:58.140+0000: 4464.652: [ParNew: 138175K->1860K(153344K), 0.0158660 secs] 140594K->4280K(1031552K), 0.0168730 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2016-04-03T20:18:03.898+0000: 4530.409: [GC2016-04-03T20:18:03.898+0000: 4530.410: [ParNew: 138180K->1858K(153344K), 0.0151430 secs] 140600K->4781K(1031552K), 0.0158780 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-04-03T20:19:10.900+0000: 4597.412: [GC2016-04-03T20:19:10.900+0000: 4597.412: [ParNew: 138178K->885K(153344K), 0.0148220 secs] 141101K->3821K(1031552K), 0.0155310 secs] [Times: user=0.01 sys=0.02, real=0.02 secs] 
2016-04-03T20:20:18.457+0000: 4664.969: [GC2016-04-03T20:20:18.458+0000: 4664.969: [ParNew: 137205K->1052K(153344K), 0.0111770 secs] 140141K->3992K(1031552K), 0.0118430 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2016-04-03T20:21:24.020+0000: 4730.532: [GC2016-04-03T20:21:24.021+0000: 4730.532: [ParNew: 137372K->2189K(153344K), 0.0223520 secs] 140312K->5133K(1031552K), 0.0241100 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
